field,query,expected,predicted
trip_duration,"Looking for a 5-day family holiday to Dubai, around $3000, staying at a villa, mainly for food.",5,
start_date,"Looking for a 5-day family getaway to Dubai, around $3000, staying at a villa, mainly for food.",2025-04-29,
end_date,"Looking for a 5-day family getaway to Dubai, around $3000, staying at a villa, mainly for food.",2025-05-04,
trip_duration,"Looking for a 5-day family getaway to Dubai, around $3000, staying at a villa, mainly for food.",5,
start_date,"Family vacation to Sydney (2025-09-09–2025-09-17) with $5000 for 4 people, prefer villa, focusing on shopping, art.",2025-09-09,2025-11-05
end_date,"Family vacation to Sydney (2025-09-09–2025-09-17) with $5000 for 4 people, prefer villa, focusing on shopping, art.",2025-09-17,2025-11-06
trip_duration,"Family vacation to Sydney (2025-09-09–2025-09-17) with $5000 for 4 people, prefer villa, focusing on shopping, art.",8,2
start_date,"Family vacation to Sydney (2025-09-09–2025-09-17) with $5000 for 4 people, prefer villa, focusing on shopping, art.",2025-09-09,2025-11-05
end_date,"Family vacation to Sydney (2025-09-09–2025-09-17) with $5000 for 4 people, prefer villa, focusing on shopping, art.",2025-09-17,2025-11-06
trip_duration,"Family vacation to Sydney (2025-09-09–2025-09-17) with $5000 for 4 people, prefer villa, focusing on shopping, art.",8,2
start_date,"Family vacation to Sydney (2025-09-09–2025-09-17) with $5000 for 4 people, prefer villa, focusing on shopping, art.",2025-09-09,2025-11-05
end_date,"Family vacation to Sydney (2025-09-09–2025-09-17) with $5000 for 4 people, prefer villa, focusing on shopping, art.",2025-09-17,2025-11-06
trip_duration,"Family vacation to Sydney (2025-09-09–2025-09-17) with $5000 for 4 people, prefer villa, focusing on shopping, art.",8,2
start_date,"Couple vacation to London (2025-09-14–2025-09-19) with $5000 for 2 people, prefer villa, focusing on photography, nightlife, adventure.",2025-09-14,2025-11-05
end_date,"Couple vacation to London (2025-09-14–2025-09-19) with $5000 for 2 people, prefer villa, focusing on photography, nightlife, adventure.",2025-09-19,2025-11-06
trip_duration,"Couple vacation to London (2025-09-14–2025-09-19) with $5000 for 2 people, prefer villa, focusing on photography, nightlife, adventure.",5,2
start_date,"Couple vacation to London (2025-09-14–2025-09-19) with $5000 for 2 people, prefer villa, focusing on photography, nightlife, adventure.",2025-09-14,2025-11-05
end_date,"Couple vacation to London (2025-09-14–2025-09-19) with $5000 for 2 people, prefer villa, focusing on photography, nightlife, adventure.",2025-09-19,2025-11-06
trip_duration,"Couple vacation to London (2025-09-14–2025-09-19) with $5000 for 2 people, prefer villa, focusing on photography, nightlife, adventure.",5,2
start_date,"Couple vacation to London (2025-09-14–2025-09-19) with $5000 for 2 people, prefer villa, focusing on photography, nightlife, adventure.",2025-09-14,2025-11-05
end_date,"Couple vacation to London (2025-09-14–2025-09-19) with $5000 for 2 people, prefer villa, focusing on photography, nightlife, adventure.",2025-09-19,2025-11-06
trip_duration,"Couple vacation to London (2025-09-14–2025-09-19) with $5000 for 2 people, prefer villa, focusing on photography, nightlife, adventure.",5,2
start_date,"Family vacation to London (2025-01-19–2025-01-22) with $1200 for 4 people, prefer hotel, focusing on nightlife, history.",2025-01-19,2025-11-05
end_date,"Family vacation to London (2025-01-19–2025-01-22) with $1200 for 4 people, prefer hotel, focusing on nightlife, history.",2025-01-22,2025-11-06
start_date,"Family trip to London (2025-01-19–2025-01-22) with $1200 for 4 people, prefer hotel, focusing on nightlife, history.",2025-01-19,2025-11-05
end_date,"Family trip to London (2025-01-19–2025-01-22) with $1200 for 4 people, prefer hotel, focusing on nightlife, history.",2025-01-22,2025-11-06
start_date,"Family trip to London (2025-01-19–2025-01-22) with $1200 for 4 people, prefer hotel, focusing on nightlife, history.",2025-01-19,2025-11-05
end_date,"Family trip to London (2025-01-19–2025-01-22) with $1200 for 4 people, prefer hotel, focusing on nightlife, history.",2025-01-22,2025-11-06
start_date,"Family vacation to Sydney (2025-04-23–2025-04-30) with $1200 for 3 people, prefer resort, focusing on culture.",2025-04-23,2025-11-05
end_date,"Family vacation to Sydney (2025-04-23–2025-04-30) with $1200 for 3 people, prefer resort, focusing on culture.",2025-04-30,2025-11-06
trip_duration,"Family vacation to Sydney (2025-04-23–2025-04-30) with $1200 for 3 people, prefer resort, focusing on culture.",7,2
start_date,"Family trip to Sydney (2025-04-23–2025-04-30) with $1200 for 3 people, prefer resort, focusing on culture.",2025-04-23,2025-11-05
end_date,"Family trip to Sydney (2025-04-23–2025-04-30) with $1200 for 3 people, prefer resort, focusing on culture.",2025-04-30,2025-11-06
trip_duration,"Family trip to Sydney (2025-04-23–2025-04-30) with $1200 for 3 people, prefer resort, focusing on culture.",7,2
start_date,"Family trip to Sydney (2025-04-23–2025-04-30) with $1200 for 3 people, prefer resort, focusing on culture.",2025-04-23,2025-11-05
end_date,"Family trip to Sydney (2025-04-23–2025-04-30) with $1200 for 3 people, prefer resort, focusing on culture.",2025-04-30,2025-11-06
trip_duration,"Family trip to Sydney (2025-04-23–2025-04-30) with $1200 for 3 people, prefer resort, focusing on culture.",7,2
start_date,"Solo vacation to London (2025-07-09–2025-07-16) with $1500 for 1 people, prefer hostel, focusing on photography, art.",2025-07-09,2025-11-05
end_date,"Solo vacation to London (2025-07-09–2025-07-16) with $1500 for 1 people, prefer hostel, focusing on photography, art.",2025-07-16,2025-11-06
trip_duration,"Solo vacation to London (2025-07-09–2025-07-16) with $1500 for 1 people, prefer hostel, focusing on photography, art.",7,2
start_date,"Solo vacation to London (2025-07-09–2025-07-16) with $1500 for 1 people, prefer hostel, focusing on photography, art.",2025-07-09,2025-11-05
end_date,"Solo vacation to London (2025-07-09–2025-07-16) with $1500 for 1 people, prefer hostel, focusing on photography, art.",2025-07-16,2025-11-06
trip_duration,"Solo vacation to London (2025-07-09–2025-07-16) with $1500 for 1 people, prefer hostel, focusing on photography, art.",7,2
start_date,"Solo vacation to London (2025-07-09–2025-07-16) with $1500 for 1 people, prefer hostel, focusing on photography, art.",2025-07-09,2025-11-05
end_date,"Solo vacation to London (2025-07-09–2025-07-16) with $1500 for 1 people, prefer hostel, focusing on photography, art.",2025-07-16,2025-11-06
trip_duration,"Solo vacation to London (2025-07-09–2025-07-16) with $1500 for 1 people, prefer hostel, focusing on photography, art.",7,2
start_date,"Couple vacation to New York (2025-03-01–2025-03-11) with $2500 for 2 people, prefer Airbnb, focusing on beaches, food.",2025-03-01,2025-11-05
end_date,"Couple vacation to New York (2025-03-01–2025-03-11) with $2500 for 2 people, prefer Airbnb, focusing on beaches, food.",2025-03-11,2025-11-06
trip_duration,"Couple vacation to New York (2025-03-01–2025-03-11) with $2500 for 2 people, prefer Airbnb, focusing on beaches, food.",10,2
start_date,"Couple trip to New York (2025-03-01–2025-03-11) with $2500 for 2 people, prefer Airbnb, focusing on beaches, food.",2025-03-01,2025-11-05
end_date,"Couple trip to New York (2025-03-01–2025-03-11) with $2500 for 2 people, prefer Airbnb, focusing on beaches, food.",2025-03-11,2025-11-06
trip_duration,"Couple trip to New York (2025-03-01–2025-03-11) with $2500 for 2 people, prefer Airbnb, focusing on beaches, food.",10,2
start_date,"Couple trip to New York (2025-03-01–2025-03-11) with $2500 for 2 people, prefer Airbnb, focusing on beaches, food.",2025-03-01,2025-11-05
end_date,"Couple trip to New York (2025-03-01–2025-03-11) with $2500 for 2 people, prefer Airbnb, focusing on beaches, food.",2025-03-11,2025-11-06
trip_duration,"Couple trip to New York (2025-03-01–2025-03-11) with $2500 for 2 people, prefer Airbnb, focusing on beaches, food.",10,2
start_date,"Looking for a 6-day friends getaway to Paris, around $3000, staying at a hostel, mainly for relaxation, wildlife, culture.",2025-10-15,
end_date,"Looking for a 6-day friends getaway to Paris, around $3000, staying at a hostel, mainly for relaxation, wildlife, culture.",2025-10-21,
trip_duration,"Looking for a 6-day friends getaway to Paris, around $3000, staying at a hostel, mainly for relaxation, wildlife, culture.",6,
group_size,"Looking for a 6-day friends getaway to Paris, around $3000, staying at a hostel, mainly for relaxation, wildlife, culture.",6,3
start_date,"I want a 6-day friends holiday to Paris, around $3000, staying at a hostel, mainly for relaxation, wildlife, culture.",2025-10-15,
end_date,"I want a 6-day friends holiday to Paris, around $3000, staying at a hostel, mainly for relaxation, wildlife, culture.",2025-10-21,
trip_duration,"I want a 6-day friends holiday to Paris, around $3000, staying at a hostel, mainly for relaxation, wildlife, culture.",6,
group_size,"I want a 6-day friends holiday to Paris, around $3000, staying at a hostel, mainly for relaxation, wildlife, culture.",6,3
start_date,"I want a 6-day friends holiday to Paris, about $3000, staying at a hostel, mainly for relaxation, wildlife, culture.",2025-10-15,
end_date,"I want a 6-day friends holiday to Paris, about $3000, staying at a hostel, mainly for relaxation, wildlife, culture.",2025-10-21,
trip_duration,"I want a 6-day friends holiday to Paris, about $3000, staying at a hostel, mainly for relaxation, wildlife, culture.",6,
group_size,"I want a 6-day friends holiday to Paris, about $3000, staying at a hostel, mainly for relaxation, wildlife, culture.",6,3
start_date,"Couple vacation to Bangkok (2025-04-20–2025-04-26) with $3000 for 2 people, prefer hotel, focusing on adventure.",2025-04-20,2025-11-05
end_date,"Couple vacation to Bangkok (2025-04-20–2025-04-26) with $3000 for 2 people, prefer hotel, focusing on adventure.",2025-04-26,2025-11-06
trip_duration,"Couple vacation to Bangkok (2025-04-20–2025-04-26) with $3000 for 2 people, prefer hotel, focusing on adventure.",6,2
start_date,"Couple vacation to Bangkok (2025-04-20–2025-04-26) with $3000 for 2 people, prefer hotel, focusing on adventure.",2025-04-20,2025-11-05
end_date,"Couple vacation to Bangkok (2025-04-20–2025-04-26) with $3000 for 2 people, prefer hotel, focusing on adventure.",2025-04-26,2025-11-06
trip_duration,"Couple vacation to Bangkok (2025-04-20–2025-04-26) with $3000 for 2 people, prefer hotel, focusing on adventure.",6,2
start_date,"Couple vacation to Bangkok (2025-04-20–2025-04-26) with $3000 for 2 people, prefer hotel, focusing on adventure.",2025-04-20,2025-11-05
end_date,"Couple vacation to Bangkok (2025-04-20–2025-04-26) with $3000 for 2 people, prefer hotel, focusing on adventure.",2025-04-26,2025-11-06
trip_duration,"Couple vacation to Bangkok (2025-04-20–2025-04-26) with $3000 for 2 people, prefer hotel, focusing on adventure.",6,2
start_date,"Solo vacation to Rome (2025-08-25–2025-08-31) with $2000 for 1 people, prefer hotel, focusing on beaches, culture, food.",2025-08-25,2025-11-05
end_date,"Solo vacation to Rome (2025-08-25–2025-08-31) with $2000 for 1 people, prefer hotel, focusing on beaches, culture, food.",2025-08-31,2025-11-06
trip_duration,"Solo vacation to Rome (2025-08-25–2025-08-31) with $2000 for 1 people, prefer hotel, focusing on beaches, culture, food.",6,2
start_date,"Solo vacation to Rome (2025-08-25–2025-08-31) with $2000 for 1 people, prefer hotel, focusing on beaches, culture, food.",2025-08-25,2025-11-05
end_date,"Solo vacation to Rome (2025-08-25–2025-08-31) with $2000 for 1 people, prefer hotel, focusing on beaches, culture, food.",2025-08-31,2025-11-06
trip_duration,"Solo vacation to Rome (2025-08-25–2025-08-31) with $2000 for 1 people, prefer hotel, focusing on beaches, culture, food.",6,2
start_date,"Solo vacation to Rome (2025-08-25–2025-08-31) with $2000 for 1 people, prefer hotel, focusing on beaches, culture, food.",2025-08-25,2025-11-05
end_date,"Solo vacation to Rome (2025-08-25–2025-08-31) with $2000 for 1 people, prefer hotel, focusing on beaches, culture, food.",2025-08-31,2025-11-06
trip_duration,"Solo vacation to Rome (2025-08-25–2025-08-31) with $2000 for 1 people, prefer hotel, focusing on beaches, culture, food.",6,2
start_date,"Couple vacation to Sydney (2025-07-25–2025-07-30) with $2000 for 2 people, prefer resort, focusing on relaxation, food.",2025-07-25,2025-11-05
end_date,"Couple vacation to Sydney (2025-07-25–2025-07-30) with $2000 for 2 people, prefer resort, focusing on relaxation, food.",2025-07-30,2025-11-06
trip_duration,"Couple vacation to Sydney (2025-07-25–2025-07-30) with $2000 for 2 people, prefer resort, focusing on relaxation, food.",5,2
start_date,"Couple vacation to Sydney (2025-07-25–2025-07-30) with $2000 for 2 people, prefer resort, focusing on relaxation, food.",2025-07-25,2025-11-05
end_date,"Couple vacation to Sydney (2025-07-25–2025-07-30) with $2000 for 2 people, prefer resort, focusing on relaxation, food.",2025-07-30,2025-11-06
trip_duration,"Couple vacation to Sydney (2025-07-25–2025-07-30) with $2000 for 2 people, prefer resort, focusing on relaxation, food.",5,2
start_date,"Couple trip to Sydney (2025-07-25–2025-07-30) with $2000 for 2 people, prefer resort, focusing on relaxation, food.",2025-07-25,2025-11-05
end_date,"Couple trip to Sydney (2025-07-25–2025-07-30) with $2000 for 2 people, prefer resort, focusing on relaxation, food.",2025-07-30,2025-11-06
trip_duration,"Couple trip to Sydney (2025-07-25–2025-07-30) with $2000 for 2 people, prefer resort, focusing on relaxation, food.",5,2
start_date,"Looking for a 6-day family getaway to Paris, around $1500, staying at a resort, mainly for relaxation.",2025-03-29,
end_date,"Looking for a 6-day family getaway to Paris, around $1500, staying at a resort, mainly for relaxation.",2025-04-04,
trip_duration,"Looking for a 6-day family getaway to Paris, around $1500, staying at a resort, mainly for relaxation.",6,
start_date,"I want a 6-day family getaway to Paris, around $1500, staying at a resort, mainly for relaxation.",2025-03-29,
